  Resolution      |CTFsim|    EPA( Ln|F| )    EPA(Ln|F| - Bg)    CCC
    4.037285      0.783598     11.019302      -0.013709       0.516191 
    4.029580      0.700918     11.018331      -0.015398       0.520229 
    4.021905      0.607363     11.017462      -0.017073       0.527167 
    4.014258      0.504314     11.016709      -0.018539       0.536866 
    4.006641      0.393316     11.016420      -0.019689       0.549089 
    3.999053      0.276054     11.016575      -0.020317       0.563463 
    3.991493      0.154326     11.017260      -0.020367       0.579241 
    3.983962      0.029991     11.018877      -0.019703       0.595694 
    3.976460      0.095010     11.020902      -0.018378       0.612092 
    3.968985      0.218718     11.023810      -0.016382       0.627865 
    3.961539      0.339185     11.027092      -0.013830       0.642164 
    3.954120      0.454478     11.030788      -0.010852       0.654553 
    3.946729      0.562766     11.034821      -0.007614       0.664824 
    3.939366      0.662291     11.038771      -0.004312       0.672885 
    3.932030      0.751420     11.042761      -0.001102       0.678779 
    3.924721      0.828682     11.046509       0.001819       0.682677 
    3.917440      0.892779     11.049785       0.004354       0.684862 
    3.910185      0.942625     11.052674       0.006344       0.685706 
